id_casa,id_distribucion,distancia
0,0,9.180987927905623
1,0,7.111149750722362
5,1,4.6713420068116
6,1,2.013660850326222
7,1,5.586010940788062
8,1,5.622744278055519
14,2,5.755257705978843
15,2,4.369941514898861
16,2,9.427854258105548
17,2,6.302526283357298
23,3,5.7894193844004675
24,3,7.910414575580511
25,3,8.579459943577044
30,4,3.6047895342661946
31,4,4.476834587124417
32,4,9.613399096430848
37,5,3.3262177701773252
38,5,8.29920865882745
42,6,1.3996560625293297
43,6,3.5420555999771715
44,6,7.827804492355531
45,6,5.554500954687031
50,7,7.020371976596774
51,7,2.085743433641022
54,8,2.069185639909702
55,8,5.45056023873804
56,8,6.647071035580986
57,8,4.915837263446155
63,9,2.7221437280913285
64,9,2.2850297406775413
65,9,7.278170334476014
69,10,1.9197303918605375
70,10,7.906713609925985
71,10,9.349996393579552
75,11,5.39991563057945
76,11,7.769814106345638
80,12,7.177086391295986
81,12,7.455843375519645
82,12,7.799099393782919
87,13,0.5577644869721277
88,13,8.3873947582839
91,14,3.1881102425796723
92,14,1.1667230224514513
93,14,1.4345197683003001
97,15,0.8822383273480718
98,15,9.94054437980812
99,15,7.7430176491862595
100,15,4.63161354494261
101,15,9.662078823456831
107,16,8.308629523384035
108,16,4.966593894435323
109,16,5.749012441930616
110,16,2.9197498352610305
116,17,8.745717106735853
117,17,8.488116156135689
120,18,3.0598473295764106
121,18,6.910208089124441
125,19,6.898492928570558
126,19,4.668076443357098
129,20,9.794695179056612
130,20,7.218012114009415
131,20,3.6528544713440207
132,20,9.431463139200494
138,21,9.881775155680259
139,21,1.1678685329093301
140,21,3.9136617902628688
141,21,7.318816725798595
146,22,4.184084660420488
147,22,1.3000647978585813
151,23,9.207745869878337
152,23,6.50782496984652
153,23,9.74867379304707
154,23,2.5743063600890013
155,23,0.41143329726416433
161,24,7.240986728237452
162,24,7.799490045435278
163,24,6.929150968764172
164,24,6.607621095422196
165,24,6.154020710341537
171,25,5.089524327827445
172,25,4.965197414035912
173,25,4.628873208739398
174,25,7.01143286124654
180,26,5.285123866562844
181,26,5.532733957815611
185,27,1.4757670255583468
186,27,0.575950801559396
189,28,1.5135706657653303
190,28,5.43331339601447
191,28,4.038846782612488
192,28,4.041323234647594
197,29,7.902139831507686
198,29,8.970905630170114
202,30,1.8051240240346031
203,30,1.0129073429987256
204,30,4.987953883289261
205,30,5.747640487878268
211,31,3.152491074154395
212,31,4.203628792805266
213,31,2.061363369102244
214,31,2.4928467233965557
215,31,8.463866662637521
221,32,3.3027430257482346
222,32,9.91927349999372
225,33,9.78074050216353
226,33,9.029464694325107
227,33,8.821343928971858
228,33,3.9832481343182686
229,33,7.586729777561324
