flight_id,passenger_id
0,1095
0,1341
0,1415
0,2253
0,2673
0,3846
0,3960
0,3988
0,4133
0,4195
0,4341
0,4567
0,4635
0,5032
0,5210
0,5408
0,5711
0,5972
0,6499
0,6602
0,6805
0,7230
0,7545
0,7613
1,267
1,2196
1,2394
1,2776
1,2821
1,3037
1,4533
1,5046
1,5329
1,5615
1,5791
1,5827
1,5902
1,6040
1,6244
2,97
2,143
2,219
2,628
2,806
2,986
2,1303
2,1690
2,1713
2,1723
2,1848
2,2351
2,2867
2,2936
2,3038
2,3656
2,3685
2,3699
2,3806
2,4289
2,4742
2,5250
2,5917
2,7014
2,7110
2,7294
2,7348
2,7863
2,7936
2,7993
3,110
3,518
3,758
3,1470
3,2143
3,2150
3,2168
3,2476
3,2635
3,3455
3,3557
3,3738
3,3848
3,4199
3,4242
3,4437
3,4572
3,5285
3,5299
3,5600
3,6496
3,7198
3,7616
3,7817
3,7860
3,7976
4,9
4,101
4,149
4,159
4,254
4,640
4,910
4,954
4,1323
4,1456
4,1667
4,1732
4,1780
4,1893
4,2066
4,2142
4,2464
4,2853
4,2900
4,2970
4,3039
4,3189
4,3365
4,3768
4,4567
4,4645
4,5268
4,5342
4,5490
4,5572
4,5598
4,5729
4,5916
4,6044
4,6496
4,6713
4,6912
4,7028
4,7088
4,7221
4,7497
4,7862
5,9
5,527
5,718
5,1007
5,1161
5,1625
5,1849
5,1854
5,2192
5,2779
5,3212
5,3216
5,3362
5,3446
5,3529
5,3647
5,3846
5,4051
5,4218
5,4363
5,4735
5,4930
5,5723
5,6074
5,6228
5,7044
5,7289
5,7994
6,156
6,162
6,1382
6,1661
6,1727
6,1809
6,2272
6,3943
6,4091
6,4623
6,4719
6,4811
6,5371
6,5385
6,5776
6,5988
6,6049
6,6617
6,6800
6,7318
6,7347
6,7545
6,7578
6,7905
7,669
7,787
7,1038
7,1234
7,1339
7,1602
7,2075
7,2649
7,2872
7,3152
7,3437
7,3475
7,4150
7,4186
7,4666
7,4802
7,4929
7,4992
7,5279
7,5393
7,5407
7,6148
7,6529
7,6574
7,7030
7,7275
7,7294
7,7461
7,7780
7,7837
8,22
8,83
8,241
8,840
8,950
8,1272
8,1635
8,1747
8,1814
8,2652
8,2763
8,3016
8,3086
8,3275
8,3402
8,3633
8,3663
8,3963
8,4153
8,4741
8,4878
8,5993
8,6071
8,6391
8,6420
8,6517
8,6576
8,6689
8,6827
8,6847
8,6864
8,6893
8,7045
8,7263
8,7333
8,7335
9,303
9,421
9,491
9,658
9,1365
9,1430
9,1489
9,1769
9,1787
9,2145
9,3028
9,4105
9,4327
9,4740
9,4800
9,5592
9,5619
9,6066
9,6139
9,6524
9,6694
9,7102
9,7236
9,7288
9,7412
10,235
10,492
10,652
10,1549
10,1601
10,1835
10,2388
10,2794
10,3249
10,3383
10,3439
10,3898
10,4557
10,4563
10,4996
10,5619
10,6179
10,6227
10,6381
10,7115
10,7538
11,189
11,318
11,511
11,966
11,1145
11,1244
11,1253
11,1450
11,2200
11,2406
11,2461
11,2892
11,3285
11,3576
11,3606
11,3927
11,4252
11,4697
11,4883
11,5482
11,6279
11,6661
11,6770
11,6813
11,6970
11,7089
11,7225
11,7450
11,7542
12,970
12,1043
12,1136
12,1503
12,1560
12,1822
12,1884
12,2339
12,2526
12,2601
12,2857
12,2948
12,2956
12,3477
12,3744
12,3830
12,3973
12,4723
12,4910
12,5939
12,5967
12,6373
12,6769
12,6934
13,99
13,199
13,412
13,738
13,1261
13,1483
13,1570
13,1597
13,1773
13,2703
13,2784
13,2822
13,3750
13,4426
13,4802
13,4845
13,5861
13,5985
13,6291
13,6331
13,6442
13,6558
13,6873
13,7332
13,7445
13,7476
13,7798
14,86
14,245
14,274
14,1291
14,1717
14,1774
14,1983
14,2070
14,2730
14,3397
14,4578
14,5014
14,5015
14,5229
14,5325
14,5892
14,6185
14,6355
14,6865
14,7578
14,7678
14,7748
14,7879
15,116
15,139
15,266
15,270
15,463
15,914
15,1264
15,2544
15,2660
15,2704
15,2725
15,3442
15,4552
15,4640
15,5080
15,5601
15,5614
15,5699
15,6021
15,6315
15,6502
15,6615
15,6616
15,6723
15,7177
15,7217
15,7562
15,7948
16,275
16,310
16,1042
16,1053
16,1155
16,1406
16,1451
16,1629
16,3009
16,3135
16,3648
16,4092
16,4188
16,4971
16,5012
16,5098
16,5324
16,5560
16,6000
16,6203
16,6209
16,6320
16,6875
16,6878
16,7082
16,7409
16,7428
16,7657
17,4
17,75
17,107
17,120
17,209
17,287
17,685
17,722
17,1081
17,1596
17,2263
17,2407
17,2484
17,2542
17,2819
17,2854
17,3023
17,3089
17,3567
17,3644
17,4001
17,4570
17,5076
17,5181
17,5185
17,5225
17,5812
17,6648
17,6960
17,6987
17,7493
17,7512
17,7618
18,744
18,1287
18,1471
18,2214
18,2437
18,2654
18,2918
18,3004
18,3103
18,4616
18,4618
18,5131
18,5402
18,5509
18,6056
18,6800
18,6923
18,7658
18,7996
19,77
19,116
19,253
19,640
19,1620
19,1658
19,2188
19,2355
19,2409
19,2816
19,3099
19,3184
19,3555
19,3665
19,3890
19,4380
19,4433
19,4941
19,4991
19,5312
19,5324
19,5670
19,5771
19,6176
19,6597
19,6788
19,7295
19,7388
20,17
20,286
20,306
20,395
20,877
20,1153
20,1475
20,1672
20,1689
20,1759
20,1836
20,2164
20,2532
20,2791
20,3148
20,3188
20,3315
20,3472
20,3718
20,3974
20,4296
20,4365
20,4465
20,4531
20,4617
20,5102
20,5998
20,6190
20,6232
20,6275
20,6304
20,7333
20,7595
20,7902
21,289
21,1537
21,1699
21,1865
21,3335
21,3444
21,3644
21,3863
21,3883
21,4275
21,5042
21,5200
21,5334
21,5669
21,5788
21,6011
21,6401
21,6929
21,7044
21,7114
21,7269
21,7314
21,7337
22,412
22,507
22,700
22,738
22,982
22,1209
22,1283
22,1464
22,1480
22,1842
22,2195
22,2333
22,2728
22,3205
22,3245
22,3737
22,3775
22,3876
22,4124
22,4752
22,5018
22,5146
22,5537
22,5628
22,5690
22,5723
22,5963
22,6518
22,6679
22,7221
22,7417
22,7878
22,7900
23,13
23,358
23,761
23,806
23,1311
23,1735
23,1799
23,2196
23,2201
23,2249
23,3333
23,3336
23,3688
23,4013
23,4081
23,4179
23,4359
23,4723
23,4878
23,5312
23,6070
23,6215
23,6371
23,6479
23,6627
23,6923
23,6955
23,7139
23,7221
23,7716
23,7846
24,240
24,289
24,635
24,1928
24,1962
24,2115
24,2223
24,3175
24,3394
24,3671
24,3734
24,4028
24,4109
24,4528
24,4642
24,4920
24,5348
24,5886
24,6184
24,6222
24,6452
24,6818
24,7578
25,118
25,382
25,455
25,536
25,623
25,669
25,801
25,984
25,1095
25,1181
25,1581
25,1879
25,3655
25,3741
25,4202
25,4332
25,4740
25,5386
25,5710
25,6187
25,6649
25,6728
25,6931
25,6960
25,7276
25,7309
25,7334
25,7617
26,1197
26,2341
26,2484
26,2775
26,2833
26,2850
26,2968
26,3112
26,3133
26,3302
26,3739
26,3833
26,4023
26,4046
26,4472
26,5356
26,5443
26,5709
26,5761
26,5817
26,5825
26,5919
26,6553
26,7398
26,7513
26,7773
26,7821
26,7936
27,395
27,622
27,818
27,1556
27,1666
27,1890
27,2220
27,2627
27,2833
27,2872
27,2881
27,2968
27,2995
27,3003
27,3302
27,3323
27,3378
27,3716
27,4266
27,4546
27,5025
27,5434
27,5542
27,6279
27,6429
27,6561
27,6940
27,7162
27,7230
27,7382
27,7700
27,7813
28,204
28,859
28,1239
28,1558
28,1619
28,1629
28,1864
28,1998
28,2261
28,2478
28,2506
28,2866
28,2868
28,3151
28,3211
28,3289
28,3320
28,3515
28,3559
28,5202
28,5714
28,5903
28,5968
28,5986
28,6151
28,6293
28,6525
28,6820
28,6931
28,7080
28,7362
28,7923
29,267
29,325
29,366
29,1038
29,1146
29,1194
29,2195
29,2206
29,2438
29,2562
29,2781
29,3116
29,3776
29,3993
29,4088
29,5093
29,5338
29,5543
29,6143
29,6534
29,7144
29,7217
29,7264
29,7288
29,7343
29,7515
29,7610
29,7728
29,7743
30,320
30,817
30,1097
30,1248
30,1319
30,1324
30,1857
30,2441
30,2680
30,2856
30,3123
30,3341
30,3726
30,3951
30,3975
30,5466
30,5515
30,6122
30,6483
30,6766
30,7217
30,7223
30,7738
30,7820
31,236
31,507
31,724
31,805
31,1938
31,2195
31,2277
31,2423
31,3655
31,3748
31,4079
31,5375
31,5464
31,5627
31,5677
31,5770
31,6718
31,6740
31,6913
31,6944
31,7020
31,7266
31,7548
31,7657
31,7715
31,7792
31,7971
32,206
32,788
32,1254
32,2009
32,2111
32,2180
32,2274
32,2422
32,2431
32,2551
32,3100
32,3155
32,3731
32,3750
32,3934
32,4569
32,4727
32,5850
32,6005
32,7043
32,7162
32,7275
32,7665
32,7704
32,7844
32,7962
32,7978
33,580
33,1296
33,1560
33,1612
33,1789
33,1839
33,1853
33,1863
33,2684
33,3579
33,4035
33,4306
33,4384
33,4508
33,4512
33,5443
33,5885
33,6516
33,6965
33,7096
33,7863
34,336
34,645
34,1243
34,1508
34,1537
34,1599
34,1731
34,2522
34,2535
34,2773
34,2843
34,3381
34,3573
34,3595
34,3741
34,4641
34,4647
34,4651
34,4738
34,5023
34,5975
34,6228
34,6331
34,6969
34,7120
34,7146
34,7200
34,7236
34,7345
34,7392
34,7431
34,7473
34,7802
34,7844
34,7875
35,258
35,790
35,1125
35,1488
35,1634
35,1731
35,1794
35,2055
35,2146
35,2957
35,3009
35,3607
35,3894
35,4130
35,4348
35,5220
35,5318
35,5505
35,5956
35,6119
35,6175
35,6386
35,6679
35,6765
35,7102
35,7316
35,7452
35,7746
35,7869
36,215
36,510
36,600
36,1406
36,1502
36,1741
36,1750
36,1927
36,1933
36,2155
36,2167
36,2429
36,2854
36,3012
36,3206
36,4909
36,5176
36,6979
36,7027
36,7079
36,7276
36,7374
37,293
37,308
37,317
37,724
37,1214
37,1388
37,2580
37,2683
37,3124
37,3128
37,3262
37,3345
37,3373
37,3811
37,5263
37,5992
37,6495
37,6649
37,7462
37,7789
38,511
38,919
38,950
38,1503
38,1570
38,1644
38,2025
38,2200
38,2261
38,2710
38,2759
38,3067
38,4439
38,5441
38,5944
38,6077
38,6101
38,6118
38,6128
38,6203
38,6493
38,6752
38,7174
38,7702
38,7834
39,138
39,382
39,1025
39,1101
39,1709
39,2359
39,2486
39,2937
39,3471
39,4420
39,4542
39,4884
39,5307
39,5325
39,5559
39,6661
39,6876
39,6917
39,7199
40,1475
40,1584
40,2292
40,3150
40,3165
40,3175
40,3324
40,3412
40,3796
40,4701
40,4806
40,4991
40,4998
40,5220
40,5243
40,5945
40,6199
40,6430
40,6611
40,6616
40,6715
40,7559
40,7578
40,7658
40,7716
41,455
41,1096
41,1360
41,1423
41,1455
41,1492
41,2135
41,2838
41,3515
41,4361
41,4431
41,4678
41,4731
41,4736
41,4995
41,5150
41,5318
41,5372
41,5673
41,5987
41,6164
41,6288
41,6867
41,7259
41,7425
41,7455
41,7604
41,7879
41,7992
42,124
42,520
42,1364
42,1402
42,2222
42,2425
42,2830
42,2967
42,4393
42,4820
42,5276
42,5367
42,5761
42,6109
42,6618
42,6855
42,6918
42,7092
42,7127
42,7889
43,143
43,804
43,852
43,1627
43,1773
43,1873
43,1906
43,2168
43,2209
43,2802
43,2883
43,2917
43,2967
43,3618
43,3892
43,4414
43,4479
43,4639
43,4665
43,5754
43,5950
43,6085
43,6674
43,6678
43,6954
43,7008
43,7290
43,7495
43,7754
44,94
44,471
44,541
44,682
44,1086
44,1276
44,1427
44,1846
44,1868
44,2160
44,2323
44,2391
44,2515
44,2633
44,3069
44,4150
44,4344
44,5010
44,5243
44,5328
44,5521
44,5587
44,6137
44,6396
44,6493
44,6876
44,6905
44,6991
44,7360
45,229
45,450
45,1188
45,1439
45,1768
45,1773
45,1986
45,2683
45,2885
45,2959
45,2971
45,3114
45,4439
45,4655
45,5567
45,5609
45,5628
45,5729
45,5916
45,6436
45,6556
45,6807
45,7624
46,167
46,723
46,1125
46,1414
46,2058
46,2253
46,2402
46,2518
46,3009
46,3092
46,3293
46,3594
46,3600
46,3694
46,4053
46,4326
46,4375
46,4462
46,4565
46,4626
46,4906
46,5043
46,5383
46,6038
46,6221
46,6847
46,6966
46,7001
46,7083
46,7670
46,7999
47,116
47,362
47,955
47,1299
47,1349
47,1557
47,1757
47,2161
47,2183
47,2209
47,2290
47,2421
47,2437
47,2957
47,2977
47,2996
47,3951
47,4238
47,4489
47,5092
47,6241
47,6288
47,6408
47,6527
47,6857
47,7133
47,7260
47,7928
48,24
48,78
48,295
48,333
48,352
48,612
48,866
48,1218
48,1795
48,2780
48,3326
48,3526
48,3562
48,4014
48,4045
48,4105
48,4636
